institution_code,standard_institution_code,institution_name,normalized_name,aliases,ministry,institution_type,institution_classification,sido,sigungu
C0847,,(사)남북교류협력지원협회,남북교류협력지원협회,남북교류협력지원협회,,기타공공기관,문화예술외교법무,,
C0454,,(재)예술경영지원센터,예술경영지원센터,예술경영지원센터,,기타공공기관,문화예술외교법무,,
C0352,,(재)우체국금융개발원,우체국금융개발원,우체국금융개발원,,준정부기관(위탁집행형),금융,,
C0331,,(재)우체국물류지원단,우체국물류지원단,우체국물류지원단,,준정부기관(위탁집행형),산업진흥정보화,,
C0368,,(재)우체국시설관리단,우체국시설관리단,우체국시설관리단,,기타공공기관,기타,,
C0931,,(재)일제강제동원피해자지원재단,일제강제동원피해자지원재단,일제강제동원피해자지원재단,,기타공공기관,기타,,
C1030,,(재)축산환경관리원,축산환경관리원,축산환경관리원,,기타공공기관,농림수산환경,,
C1304,,(재)한국보건의료정보원,한국보건의료정보원,한국보건의료정보원,,기타공공기관,고용보건복지,,
C0354,,(재)한국우편사업진흥원,한국우편사업진흥원,한국우편사업진흥원,,기타공공기관,산업진흥정보화,,
C1060,,(재)한국통계정보원,한국통계정보원,한국통계정보원,,기타공공기관,기타,,
C0887,,(재)한국통계진흥원,한국통계진흥원,한국통계진흥원,,기타공공기관,SOC,,
C0005,,(주)강원랜드,강원랜드,강원랜드,,공기업(시장형),문화예술외교법무,,
C1024,,(주)공영홈쇼핑,공영홈쇼핑,공영홈쇼핑,,기타공공기관,산업진흥정보화,,
C0125,,(주)한국가스기술공사,한국가스기술공사,한국가스기술공사,,공기업(준시장형),에너지,,
C0001,,88관광개발(주),88관광개발,88관광개발,,기타공공기관,기타,,
C0437,,KDI국제정책대학원,kdi국제정책대학원,,,기타공공기관,연구교육,,
C1399,,가덕도신공항건설공단,가덕도신공항건설공단,,,기타공공기관,SOC,,
C0002,,가축위생방역지원본부,가축위생방역지원본부,,,기타공공기관,농림수산환경,,
C0004,,강원대학교병원,강원대학교병원,강원대병원|대병원,,기타공공기관,고용보건복지,,
C0003,,강원대학교치과병원,강원대학교치과병원,,,기타공공기관,고용보건복지,,
C0006,,건강보험심사평가원,건강보험심사평가원,,,준정부기관(위탁집행형),고용보건복지,,
C0672,,건설근로자공제회,건설근로자공제회,,,기타공공기관,고용보건복지,,
C0438,,건축공간연구원,건축공간연구원,,,기타공공기관,연구교육,,
C0402,,게임물관리위원회,게임물관리위원회,,,기타공공기관,문화예술외교법무,,
C0008,,경북대학교병원,경북대학교병원,경북대병원|대병원,,기타공공기관,고용보건복지,,
C1031,,경북대학교치과병원,경북대학교치과병원,,,기타공공기관,기타,,
C0009,,경상국립대학교병원,경상국립대학교병원,경상국립대병원|대병원,,기타공공기관,고용보건복지,,
C0010,,경제인문사회연구회,경제인문사회연구회,,,기타공공기관,연구교육,,
C1028,,공간정보산업진흥원,공간정보산업진흥원,,,기타공공기관,SOC,,
C1327,,공간정보품질관리원,공간정보품질관리원,,,기타공공기관,기타,,
C0013,,공무원연금공단,공무원연금공단,,,준정부기관(기금관리형),기타,,
C1038,,과학기술사업화진흥원,과학기술사업화진흥원,,,기타공공기관,산업진흥정보화,,
C0017,,과학기술정책연구원,과학기술정책연구원,,,기타공공기관,연구교육,,
C0457,,국가과학기술인력개발원,국가과학기술인력개발원,,,기타공공기관,연구교육,,
C1120,,국가생명윤리정책원,국가생명윤리정책원,,,기타공공기관,고용보건복지,,
C0441,,국가수리과학연구소,국가수리과학연구소,,,기타공공기관,연구교육,,
C1303,,국가아동권리보장원,국가아동권리보장원,,,기타공공기관,고용보건복지,,
C0191,,국가유산진흥원,국가유산진흥원,,,기타공공기관,연구교육,,
C0270,,국가철도공단,국가철도공단,,,준정부기관(위탁집행형),SOC,,
C0410,,국가평생교육진흥원,국가평생교육진흥원,,,기타공공기관,연구교육,,
C0021,,국립공원공단,국립공원공단,,,준정부기관(위탁집행형),농림수산환경,,
C0923,,국립광주과학관,국립광주과학관,,,기타공공기관,문화예술외교법무,,
C1018,,국립낙동강생물자원관,국립낙동강생물자원관,,,기타공공기관,연구교육,,
C1375,,국립농업박물관,국립농업박물관,,,기타공공기관,문화예술외교법무,,
C0924,,국립대구과학관,국립대구과학관,,,기타공공기관,문화예술외교법무,,
C0344,,국립박물관문화재단,국립박물관문화재단,,,기타공공기관,문화예술외교법무,,
C1051,,국립부산과학관,국립부산과학관,,,기타공공기관,문화예술외교법무,,
C0879,,국립생태원,국립생태원,,,준정부기관(위탁집행형),농림수산환경,,
C1362,,국립아시아문화전당재단,국립아시아문화전당재단,,,기타공공기관,기타,,
C0023,,국립암센터,국립암센터,,,기타공공기관,고용보건복지,,
C1333,,국립울진해양과학관,국립울진해양과학관,,,기타공공기관,에너지,,
C1395,,국립인천해양박물관,국립인천해양박물관,,,기타공공기관,SOC,,
C0446,,국립중앙의료원,국립중앙의료원,,,기타공공기관,고용보건복지,,
C1324,,국립항공박물관,국립항공박물관,,,기타공공기관,문화예술외교법무,,
C1016,,국립해양박물관,국립해양박물관,,,기타공공기관,문화예술외교법무,,
