institution_code,institution_name
C0031,국제방송교류재단
C0866,국제식물검역인증원
C0318,국토교통과학기술진흥원
C0032,국토연구원
C0357,그랜드코리아레저(주)
C0035,근로복지공단
C0038,기술보증기금
C0856,기초과학연구원
C0173,노사발전재단
C0860,농림수산식품교육문화정보원
C0404,농림식품기술기획평가원
C0422,한국농업기술진흥원
C0542,농업정책보험금융원
C0049,대구경북과학기술원
C0894,대구경북첨단의료산업진흥재단
C0051,대외경제정책연구원
C0054,대한무역투자진흥공사
C0055,대한법률구조공단
C0057,대한석탄공사
C0315,대한장애인체육회
C0059,대한적십자사
C0063,대한체육회
C0064,한국도로교통공단
C0065,독립기념관
C0358,동북아역사재단
C0068,민주화운동기념사업회
C0069,별정우체국연금관리단
C0071,부산대학교병원
C0853,부산대학교치과병원
C0072,부산항만공사
C0449,북한이탈주민지원재단
C0893,사단법인 한국기술자격검정원
C1059,사단법인 한국산학연협회
C0075,사립학교교직원연금공단
C0411,한국사회보장정보원
C0078,산업연구원
C1046,서민금융진흥원
C0083,서울대학교병원
C0084,서울대학교치과병원
C0029,서울올림픽기념국민체육진흥공단
C0087,한국해양교통안전공단
C0867,세종학당재단
C0903,소상공인시장진흥공단
C0089,수도권매립지관리공사
C1033,시청자미디어재단
C0661,식품안전정보원
C0091,신용보증기금
C0112,신용보증재단중앙회
C0869,아시아문화원(22.01.17 해산)
C0223,한국수출입은행
C0224,한국승강기안전공단
C0225,국토안전관리원
C1100,한국식품안전관리인증원
C0226,한국식품연구원
C0594,한국양성평등교육진흥원
C0335,한국어촌어항공단
C0412,한국언론진흥재단
C0097,한국에너지공단
C0229,한국에너지기술연구원
C0389,한국에너지기술평가원
C0233,한국에너지정보문화재단
C0902,한국여성인권진흥원
C0231,한국여성정책연구원
C0388,한국연구재단
C0232,한국영상자료원
C0868,한국예술인복지재단
C0131,한국예탁결제원
C0234,한국원자력안전기술원
C0932,한국원자력안전재단
C0235,한국원자력연구원
C0104,한국원자력의학원
C0020,한국원자력통제기술원
C0371,한국원자력환경공단
C0865,한국의료기기안전정보원
C0870,한국의료분쟁조정중재원
C0862,한국의약품안전관리원
C0399,한국인터넷진흥원
C0857,한국임업진흥원
C0240,한국자산관리공사
C0859,한국잡월드
C0243,한국장애인개발원
C0242,한국장애인고용공단
C0415,한국장학재단
C1042,한국재정정보원
C1049,한국저작권보호원
C0390,한국저작권위원회
C0244,한국전기안전공사
C0245,한국전기연구원
C0246,한국전력거래소
C1318,재단법인 건설기술교육원
C1324,국립항공박물관
C1327,공간정보품질관리원
C1333,국립울진해양과학관
C1334,국립호남권생물자원관
C1330,차세대수치예보모델개발사업단
C1319,한국고용노동교육원
C1294,한국도로공사서비스(주)
C1352,한전MCS(주)
